PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\sand_engram> python sand_engram_01.py
--- SAND ENGRAM 01: Humanoid-v5 ---
Maximizing Coherence (Γ)...
Ep  680 | Reward:   82.4 | Γ: 0.0438 | Steps:   25 | Time: 56.0s
Ep  690 | Reward:   63.8 | Γ: 0.0456 | Steps:   21 | Time: 56.7s
Ep  700 | Reward:   63.8 | Γ: 0.0713 | Steps:   19 | Time: 57.2s
Ep  710 | Reward:   77.9 | Γ: 0.0343 | Steps:   24 | Time: 57.7s
Ep  720 | Reward:   64.0 | Γ: 0.0413 | Steps:   19 | Time: 58.2s
Ep  730 | Reward:   85.6 | Γ: 0.0515 | Steps:   25 | Time: 58.7s
Ep  740 | Reward:   89.4 | Γ: 0.0373 | Steps:   29 | Time: 59.2s
Ep  750 | Reward:   69.6 | Γ: 0.0413 | Steps:   25 | Time: 59.7s
Ep  760 | Reward:   84.0 | Γ: 0.0466 | Steps:   27 | Time: 60.2s
Ep  770 | Reward:   81.1 | Γ: 0.0463 | Steps:   27 | Time: 60.7s
Ep  780 | Reward:   66.9 | Γ: 0.0363 | Steps:   20 | Time: 61.2s
Ep  790 | Reward:   78.5 | Γ: 0.0561 | Steps:   27 | Time: 61.8s
Ep  800 | Reward:   67.4 | Γ: 0.0383 | Steps:   20 | Time: 62.4s
Ep  810 | Reward:   65.6 | Γ: 0.0317 | Steps:   20 | Time: 62.9s
Ep  820 | Reward:   60.7 | Γ: 0.0279 | Steps:   18 | Time: 63.3s
Ep  830 | Reward:   72.2 | Γ: 0.0467 | Steps:   22 | Time: 63.8s
Ep  840 | Reward:   69.9 | Γ: 0.0334 | Steps:   21 | Time: 64.3s
Ep  850 | Reward:  103.9 | Γ: 0.0448 | Steps:   36 | Time: 64.9s
Ep  860 | Reward:   78.6 | Γ: 0.0399 | Steps:   28 | Time: 65.5s
Ep  870 | Reward:   96.5 | Γ: 0.0351 | Steps:   30 | Time: 66.0s
Ep  880 | Reward:   57.6 | Γ: 0.0126 | Steps:   18 | Time: 66.5s
Ep  890 | Reward:  110.4 | Γ: 0.0313 | Steps:   33 | Time: 67.0s
Ep  900 | Reward:   89.2 | Γ: 0.0198 | Steps:   30 | Time: 67.5s
Ep  910 | Reward:   66.4 | Γ: 0.0339 | Steps:   22 | Time: 68.0s
Ep  920 | Reward:   62.5 | Γ: 0.0385 | Steps:   19 | Time: 68.4s
Ep  930 | Reward:   61.9 | Γ: 0.0224 | Steps:   19 | Time: 68.8s
Ep  940 | Reward:   68.1 | Γ: 0.0236 | Steps:   21 | Time: 69.3s
Ep  950 | Reward:   74.2 | Γ: 0.0246 | Steps:   22 | Time: 69.7s
Ep  960 | Reward:   90.3 | Γ: 0.0341 | Steps:   29 | Time: 70.2s
Ep  970 | Reward:   57.5 | Γ: 0.0227 | Steps:   18 | Time: 70.7s
Ep  980 | Reward:   55.6 | Γ: 0.0308 | Steps:   17 | Time: 71.1s
Ep  990 | Reward:   57.0 | Γ: 0.0223 | Steps:   18 | Time: 71.6s
Ep 1000 | Reward:   59.0 | Γ: 0.0363 | Steps:   18 | Time: 72.0s
Ep 1010 | Reward:   65.2 | Γ: 0.0326 | Steps:   20 | Time: 72.5s
Ep 1020 | Reward:   71.6 | Γ: 0.0323 | Steps:   25 | Time: 73.0s
Ep 1030 | Reward:   53.1 | Γ: 0.0554 | Steps:   16 | Time: 73.5s
Ep 1040 | Reward:   73.9 | Γ: 0.0273 | Steps:   23 | Time: 74.0s
