ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq,zscore_daily_return_fractal_dimension,zscore_daily_return_std_dev,zscore_daily_return_kurtosis,zscore_daily_return_fundamental_freq,zscore_volatility_fractal_dimension,zscore_volatility_std_dev,zscore_volatility_kurtosis,zscore_volatility_fundamental_freq,zscore_normalized_volume_fractal_dimension,zscore_normalized_volume_std_dev,zscore_normalized_volume_kurtosis,zscore_normalized_volume_fundamental_freq
agz.us,ETFs,2265,0.111881,0.002375,85.293021,0.851107,0.387367,0.457696,0.398547,153.079339,0.000000,0.002649,0.481506,1.934626,105.694993,0.704145,0.159823,-0.037253,-0.015951,0.165523,0.803755,0.482694,-0.012311,0.305844,-0.209150,0.536962,0.675873,-0.142095,2.892683
agzd.us,ETFs,849,0.139157,0.002739,6.770554,0.000000,0.470519,0.369350,0.163531,74.601619,0.649380,0.007067,0.514050,3.130112,245.662664,0.000000,0.053004,-0.025254,-0.015900,-0.149157,1.406901,-0.004402,-0.012312,-0.053950,-0.112203,0.852429,2.137554,0.890986,0.705659
aia.us,ETFs,2513,0.254012,0.017546,13.966202,0.899680,0.308121,0.358214,0.387263,25.544601,0.000000,0.001194,0.567405,1.607035,223.111820,0.000000,0.031437,0.025271,-0.013821,-0.120321,0.228933,-0.065799,-0.012311,-0.278860,-0.241081,1.369611,0.275338,0.724541,0.264098
airr.us,ETFs,921,0.164133,0.012492,4.038387,0.000000,0.109783,0.236909,0.166542,10.184436,0.781081,0.003257,0.514797,2.662794,232.195646,0.776105,0.008686,-0.014267,-0.014530,-0.160107,-1.209734,-0.734609,-0.012312,-0.349282,-0.195801,0.859662,1.566180,0.791588,-0.201691
ald.us,ETFs,1561,0.181304,0.004094,5.976714,0.863382,0.361538,0.671274,0.382653,811.346827,0.000000,0.001281,0.576180,2.781212,268.223240,0.000000,0.004484,-0.006714,-0.015710,-0.152339,0.616401,1.660250,-0.012311,3.323782,-0.239163,1.454674,1.710965,1.057502,-0.287720
alfa.us,ETFs,1353,0.157740,0.008859,4.566446,1.419250,0.155325,0.481242,0.364073,240.924035,0.000000,0.002217,0.298410,1.287114,28.088677,0.000000,0.028086,-0.017079,-0.015041,-0.157990,-0.879385,0.612511,-0.012311,0.708583,-0.218623,-1.237838,-0.115819,-0.714897,0.195494
alts.us,ETFs,776,0.156572,0.005053,6.628952,0.722484,0.360000,0.429089,0.407492,191.942523,0.000000,0.005155,0.347777,1.873477,55.958453,0.000000,0.020619,-0.017593,-0.015575,-0.149725,0.605242,0.324966,-0.012311,0.484019,-0.154169,-0.759306,0.601108,-0.509194,0.042611
amj.us,ETFs,2169,0.144993,0.013447,9.553151,0.783042,0.087638,0.295699,0.354656,12.762219,0.579446,0.002766,0.433687,0.845339,95.971539,0.000000,0.001383,-0.022687,-0.014396,-0.138006,-1.370360,-0.410472,-0.012312,-0.337463,-0.206577,0.073441,-0.655963,-0.213863,-0.351214
amjl.us,ETFs,263,0.119640,0.028481,4.024234,0.000000,0.458015,0.193257,0.416660,8.629549,0.838681,0.239544,0.251783,1.502768,29.550859,0.000000,0.452471,-0.033840,-0.012285,-0.160163,1.316205,-0.975283,-0.012311,-0.356410,4.989009,-1.689803,0.147854,-0.704104,8.884342
amlp.us,ETFs,1814,0.140110,0.012579,16.082463,0.000000,0.211804,0.417713,0.132296,47.216572,0.000000,0.002756,0.294072,0.524285,13.167666,0.718724,0.004410,-0.024835,-0.014518,-0.111840,-0.469715,0.262250,-0.012312,-0.179502,-0.206794,-1.279889,-1.048504,-0.825026,-0.289239
amu.us,ETFs,1336,0.142622,0.014895,8.703098,0.000000,0.107116,0.327588,0.286004,19.198038,0.000000,0.002994,0.331440,1.281687,26.280556,0.780205,0.005988,-0.023730,-0.014193,-0.141413,-1.229076,-0.234652,-0.012312,-0.307957,-0.201579,-0.917664,-0.122454,-0.728242,-0.256933
angl.us,ETFs,1373,0.264051,0.016761,630.795786,0.851287,0.483965,0.648695,0.324745,731.593029,0.000000,0.002913,0.403621,1.756468,74.032041,0.000000,0.006555,0.029687,-0.013931,2.351636,1.504434,1.535762,-0.012312,2.958137,-0.203350,-0.218000,0.458045,-0.375795,-0.245325
