ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq
vrp.us,ETFs,889,0.17429868699734005,0.002838619757739665,22.93996014852418,0.0,0.45157657657657657,0.46118156285516304,0.1587061400019887,297.0967860893023,0.0,0.0022497187851518562,0.3511378439855986,0.9111915858480436,85.35366447417145,0.5128907524086244,0.005624296962879641
vss.us,ETFs,2167,0.22312770234756152,0.011662163801490549,8.306406269342189,1.588880712631141,0.4903047091412742,0.3557888738348216,0.5143903588837989,33.598668026283484,0.0,0.0009229349330872173,0.34004226000041887,1.030497961554133,39.04527831503135,0.0,0.00692201199815413
vt.us,ETFs,2362,0.14789726794336264,0.014179398619768614,14.138187087444479,0.9839301684162532,0.3087674714104193,0.42517310351850107,0.425932532253725,40.32628933846507,0.0,0.0012701100762066045,0.34687916279912856,0.9724184350920059,28.203660734298243,0.5265989405209311,0.0038103302286198134
vthr.us,ETFs,1688,0.19084608939296183,0.009082935369819006,8.320793393204317,1.7673556444945224,0.3011262596324837,0.4492770422005162,0.45476623837736424,102.26754798175516,0.5054336114602223,0.0029620853080568723,0.4456935297701384,2.4081664614574505,75.28261175549913,0.0,0.006516587677725119
vti.us,ETFs,3201,0.26090219361748423,0.011996140523503326,14.95977011986231,0.0,0.2984375,0.6322587830516153,0.6826903819116231,640.1251092610636,0.0,0.0006248047485160887,0.35892003008554624,0.726089567063302,29.071840766823826,0.6461465115072208,0.0028116213683223993
vtip.us,ETFs,1275,0.1459384207745758,0.001125660651176829,5.988162374825391,0.0,0.4576138147566719,0.4751972809860355,0.0715911445383911,469.2138154913437,0.0,0.003137254901960784,0.3589825043444665,0.9281616840858744,49.413304547135496,0.9438478050307811,0.002352941176470588
vtv.us,ETFs,3201,0.14275595265725305,0.012420614277231186,13.534373062686493,0.0,0.2984375,0.6373234001764192,0.6847388437650888,530.564619861572,0.0,0.0006248047485160887,0.40935313361272996,0.8418761794697974,88.56997129434411,0.799402632538238,0.004061230865354577
vtwg.us,ETFs,1753,0.2003065629695976,0.012444766650213821,7.222952646235725,0.9551624651166766,0.053082191780821915,0.36570836120298866,0.6580069385455128,26.14459783665527,0.0,0.0022818026240730175,0.4108048705219989,1.7321242347004597,64.30886862904916,0.0,0.0039931545921277805
vtwo.us,ETFs,1759,0.18557620763364022,0.011884152619794024,7.601208015489563,1.2807732814464405,0.3003412969283276,0.3326008471869956,0.5255252286346176,19.0915869612038,1.3473059698025756,0.0028425241614553724,0.36874414992523896,1.1630550945394202,57.387976431648504,0.0,0.05059693007390562
vtwv.us,ETFs,1678,0.23911376932481385,0.011149950286881136,8.28249638723242,0.0,0.11747167561121048,0.38499508382137165,0.4937815421943829,43.2246100834686,0.0,0.0029797377830750892,0.3787262998287528,1.2877975277301161,49.78687310697795,0.0,0.009535160905840286
vug.us,ETFs,3201,0.18076033200193592,0.01161168448691169,14.502377598056905,0.0,0.3003125,0.6377528066284917,0.7581485456489093,709.0949757059883,0.0,0.0006248047485160887,0.5022754348317463,0.9685216039190588,221.9692809128515,0.0,0.003436426116838488
vuse.us,ETFs,958,0.1633781924536927,0.00841393920541217,4.156302955840604,0.7711940920206934,0.16927899686520378,0.3054858630921758,0.12418134686596498,36.216739157888746,0.0,0.0031315240083507304,0.33739473389355884,1.0660033140874092,24.96812108503259,0.48055809687262496,0.005219206680584551
vv.us,ETFs,3201,0.21184816759770977,0.011847079372734572,14.498819297913798,0.7820864520746462,0.2984375,0.7258894920220724,0.6867873096455647,1059.5486652913435,0.0,0.0006248047485160887,0.6289243536386154,1.4605660072101316,586.9359907149413,0.0,0.006560449859418931
vwo.us,ETFs,3192,0.2490350757894572,0.018690713283748175,16.874978461800634,0.8938936846319709,0.31212785960513945,0.43941488550179053,0.3909288566132213,34.14151528081534,1.422320114339596,0.003132832080200501,0.4200554360441074,0.6051828273865698,53.041891877806314,0.0,0.004072681704260651
vwob.us,ETFs,1118,0.26835497629772004,0.0037347810204815227,14.804079714699919,0.8473404899863358,0.20769919427036707,0.31532268325427787,0.2057641989039527,35.86631240457519,0.0,0.010733452593917711,0.3446693213646154,1.126830797522439,49.401589771752775,0.8859537179515775,0.14221824686940965
vxf.us,ETFs,3201,0.15350573586393101,0.013914080976365475,10.049148358891873,0.0,0.2984375,0.5278902990694743,0.5586666984335682,280.6804376181374,0.0,0.0006248047485160887,0.47715332513629616,1.0281352202980996,104.10905598748025,0.0,0.0015620118712902217
vxus.us,ETFs,1707,0.19934973903468603,0.01106491070763548,7.911585749188326,0.0,0.4671746776084408,0.2936998785008197,0.22544695222099084,12.389876649496673,0.0,0.0011716461628588166,0.5062322331524002,1.0628071612985515,286.1832595064713,0.0,0.08845928529584066
vxx.us,ETFs,2212,0.2214361377391062,0.038602081392545805,6.693439448200246,0.8408134334896554,0.29850746268656714,0.3419410415628462,1175.5844045207077,23.054933195992053,0.7529237565332034,0.0031645569620253164,0.28035495830827556,0.6892380022065084,9.327531538041564,0.9156540363788003,0.006329113924050633
vxz.us,ETFs,2213,0.1733609323486651,0.01897731800276975,6.035650803303898,0.0,0.4706148282097649,0.7929052514530565,9.414693963160735,1421.4175272348084,0.0,0.0031631269769543608,0.3214562421638846,0.8977726715433433,18.347550851249178,0.0,0.0036150022593764122
vym.us,ETFs,2765,0.18837430156579707,0.011838564459381772,13.03726434055811,1.668258258140386,0.2984804630969609,0.650551392258997,0.5867626824828196,573.6791521958664,0.0,0.00108499095840868,0.3524751764884924,0.733935177432075,30.275614497568718,0.0,0.003978300180831827
wdiv.us,ETFs,1103,0.23815656323371115,0.00830941544031888,7.161125771555034,0.7101531440019924,0.15517241379310345,0.3250031941649948,0.2623224906849392,28.905788946433386,0.7572605352074755,0.009972801450589302,0.36704596946746637,1.433375094549513,47.90265426107734,0.0,0.008159564823209429
wdti.us,ETFs,1722,0.15675091018321483,0.0038481195127512092,5.993397839086609,0.0,0.4282393957001743,0.5546974420613053,0.33357797414142326,341.5564132285228,0.0,0.0011614401858304297,0.4124809179638666,1.1830285084882166,61.4772340217374,0.709610394568062,0.003484320557491289
weat.us,ETFs,1539,0.18205411073417926,0.01547556704543701,4.267504231642483,0.0,0.3400520156046814,0.34594532936961264,0.22068896997079815,32.911173162772,0.5660338759961979,0.005198180636777128,0.3717443830889084,1.1866440044871722,33.987108604412846,0.0,0.003898635477582846
wip.us,ETFs,2431,0.18303685689866578,0.006492808714975499,14.434892884063796,0.0,0.10411522633744856,0.3733229714305109,0.2832824335278215,41.70670105194376,0.9345789592202101,0.0024681201151789387,0.3600460935462802,1.1657570666639572,46.69929709192199,0.0,0.006993006993006993
wmcr.us,ETFs,2655,0.17213759711163193,0.015630852983256102,15.341420029400783,0.0,0.22381311228334588,0.7350536270398954,0.3226577818507233,1189.263729357864,0.0,0.0011299435028248588,0.6470007274714492,2.7006074034509227,266.60279979185395,0.0,0.007909604519774011
wmw.us,ETFs,2328,0.16460531011383234,0.01768603040834666,10.875837456148705,0.0,0.4499355393210142,0.6475517310280309,0.35328854563387235,554.5508187329536,0.0,0.001288659793814433,0.5943265644516035,1.8240308131509495,243.2356163432737,0.0,0.004725085910652921
wood.us,ETFs,2362,0.1413460714696194,0.016252765245715634,11.366451146249231,0.0,0.10419313850063532,0.5291191128928421,0.7304942502712524,329.29260905965674,0.0,0.001693480101608806,0.3908036527699152,1.284261883222097,41.1661596470433,0.7503798984839272,0.004233700254022015
wps.us,ETFs,2586,0.2336380578947678,0.015172630433144884,12.72615246066172,0.0,0.3450676982591876,0.38952383298183624,0.2777778775737752,46.03578477022352,0.44594113439013977,0.0030935808197989174,0.44501946763507516,1.5647448310288787,69.51939982802666,0.0,0.003866976024748647
wrei.us,ETFs,1763,0.17582939383656787,0.012279015230188494,7.810112034466115,0.0,0.2514188422247446,0.3487367334226169,0.27886225749540483,18.08690499728863,0.0,0.0017016449234259785,0.4483219764436943,2.0251103135109827,62.36531608833589,0.0,0.01020986954055587
xar.us,ETFs,1413,0.14969671692121514,0.010561596308660524,4.811336932030194,0.0,0.1954674220963173,0.5866766944902435,0.6976806510632239,720.7171247661021,0.0,0.0021231422505307855,0.46325911305219125,1.87808436287507,110.48421977115248,0.7897591003062755,0.004246284501061571
xbi.us,ETFs,2963,0.18158852223416694,0.01824424376623589,5.803800038357595,0.7726024115906419,0.18771100607697502,0.43928653420320096,0.8774098762877854,19.387170963490338,0.6768963565248429,0.002362470469119136,0.5020145177972395,1.0294611715061044,149.70506104889824,0.0,0.0030374620317246033
xes.us,ETFs,2868,0.15609748927491135,0.024393523048479714,8.634224235842106,4.553878221135767,0.19358214161144052,0.30562644663182237,0.4263823483240715,12.984684569381447,0.0,0.0010460251046025104,0.40969027293754146,1.0590817021995638,48.16205349827601,0.0,0.005230125523012552
xhb.us,ETFs,2963,0.14860112662136904,0.02130937945222715,7.156589270121298,0.9256208392297449,0.3355840648210669,0.37284094280299485,0.3478365078529394,18.99736500613071,0.0,0.0006749915626054674,0.2825787123859231,0.5885586285011281,9.927343884205817,0.0,0.0006749915626054674
