--- 🔬 STARTING SIMULATION & DATA DUMP ---
Frame, P1_m, P1_l, P2_m, P2_l, P3_m, P3_l
82, -0.44845, -0.94756, 0.60163, 0.50335, 0.40499, 0.32880
83, -0.66083, -0.48540, 0.36702, 0.16038, 0.84166, 0.11701
84, -0.79144, 0.01906, 0.07837, -0.15860, 1.21820, -0.14998
85, -0.83049, 0.53627, -0.24996, -0.43483, 1.51388, -0.45450
86, -0.77529, 1.03515, -0.59998, -0.65314, 1.71344, -0.77503
87, -0.63059, 1.48521, -0.95118, -0.80287, 1.80795, -1.08777
88, -0.40829, 1.85864, -1.28191, -0.87855, 1.79540, -1.36823
89, -0.12659, 2.13217, -1.57079, -0.88021, 1.68077, -1.59305
90, 0.19130, 2.28874, -1.79815, -0.81327, 1.47565, -1.74173
91, 0.51884, 2.31861, -1.94742, -0.68809, 1.19741, -1.79816
92, 0.82811, 2.22015, -2.00630, -0.51918, 0.86806, -1.75190
93, 1.09192, 1.99999, -1.96772, -0.32408, 0.51269, -1.59907
94, 1.28579, 1.67263, -1.83045, -0.12204, 0.15771, -1.34288
95, 1.38981, 1.25951, -1.59934, 0.06735, -0.17096, -0.99360
96, 1.39022, 0.78767, -1.28516, 0.22573, -0.44970, -0.56818
97, 1.28057, 0.28794, -0.90404, 0.33730, -0.65895, -0.08932
98, 1.06236, -0.20712, -0.47655, 0.39005, -0.78455, 0.41589
99, 0.74522, -0.66542, -0.02647, 0.37675, -0.81885, 0.91780
100, 0.34630, -1.05763, 0.42080, 0.29557, -0.76136, 1.38614
101, -0.11075, -1.35926, 0.83987, 0.15030, -0.61873, 1.79208
102, -0.59729, -1.55232, 1.20709, -0.04983, -0.40438, 2.11018
103, -1.08158, -1.62654, 1.50210, -0.29069, -0.13745, 2.32013
104, -1.53096, -1.58001, 1.70916, -0.55426, 0.15853, 2.40815
105, -1.91402, -1.41936, 1.81816, -0.81984, 0.45740, 2.36804
106, -2.20283, -1.15927, 1.82526, -1.06555, 0.73228, 2.20163
107, -2.37493, -0.82152, 1.73314, -1.26991, 0.95761, 1.91879
108, -2.41499, -0.43345, 1.55080, -1.41343, 1.11103, 1.53686
109, -2.31602, -0.02598, 1.29294, -1.48012, 1.17516, 1.07957
110, -2.08008, 0.36859, 0.97896, -1.45876, 1.13901, 0.57552
111, -1.71832, 0.71885, 0.63163, -1.34386, 0.99892, 0.05632
112, -1.25041, 0.99660, 0.27558, -1.13625, 0.75905, -0.44552
113, -0.70341, 1.17888, -0.06447, -0.84323, 0.43128, -0.89880
114, -0.11017, 1.24974, -0.36535, -0.47833, 0.03447, -1.27582
115, 0.49284, 1.20151, -0.60711, -0.06059, -0.40669, -1.55430
116, 1.06797, 1.03545, -0.77438, 0.38653, -0.86334, -1.71885
117, 1.57912, 0.76185, -0.85752, 0.83675, -1.30433, -1.76197
118, 1.99417, 0.39938, -0.85332, 1.26260, -1.69842, -1.68453
119, 2.28718, -0.02618, -0.76525, 1.63739, -2.01641, -1.49574
120, 2.44014, -0.48365, -0.60321, 1.93693, -2.23324, -1.21249
121, 2.44426, -0.93862, -0.38282, 2.14126, -2.32980, -0.85824
122, 2.30054, -1.35584, -0.12428, 2.23605, -2.29442, -0.46132
123, 2.01984, -1.70179, 0.14912, 2.21363, -2.12388, -0.05293
124, 1.62213, -1.94716, 0.41267, 2.07368, -1.82383, 0.33506
125, 1.13518, -2.06909, 0.64214, 1.82330, -1.40868, 0.67245
126, 0.59274, -2.05286, 0.81560, 1.47671, -0.90085, 0.93280
127, 0.03229, -1.89313, 0.91510, 1.05440, -0.32949, 1.09546
128, -0.50752, -1.59442, 0.92812, 0.58186, 0.27125, 1.14705
129, -0.98954, -1.17117, 0.84864, 0.08793, 0.86458, 1.08265
130, -1.38065, -0.64706, 0.67771, -0.39709, 1.41362, 0.90615
131, -1.65413, -0.05365, 0.42356, -0.84349, 1.88403, 0.63017
132, -1.79160, 0.57165, 0.10107, -1.22427, 2.24639, 0.27517
133, -1.78448, 1.18827, -0.26916, -1.51701, 2.47808, -0.13198
134, -1.63472, 1.75525, -0.66217, -1.70532, 2.56486, -0.55983
135, -1.35471, 2.23405, -1.05036, -1.77992, 2.50185, -0.97453
136, -0.96637, 2.59119, -1.40535, -1.73918, 2.29394, -1.34229
137, -0.49974, 2.80065, -1.70000, -1.58924, 1.95552, -1.63178
138, 0.00904, 2.84579, -1.91030, -1.34361, 1.50958, -1.81663
139, 0.52031, 2.72063, -2.01718, -1.02229, 0.98613, -1.87737
140, 0.99378, 2.43052, -2.00790, -0.65038, 0.42035, -1.80299
141, 1.39155, 1.99193, -1.87718, -0.25633, -0.14981, -1.59184
142, 1.68094, 1.43145, -1.62776, 0.13012, -0.68617, -1.25203
143, 1.83680, 0.78415, -1.27053, 0.47998, -1.15294, -0.80118
144, 1.84353, 0.09130, -0.82399, 0.76712, -1.51918, -0.26554
145, 1.69637, -0.60234, -0.31329, 0.97015, -1.76103, 0.32162
146, 1.40189, -1.25154, 0.23134, 1.07400, -1.86351, 0.92240
147, 0.97767, -1.81388, 0.77660, 1.07107, -1.82167, 1.49692
148, 0.45104, -2.25285, 1.28849, 0.96193, -1.64100, 2.00602
149, -0.14262, -2.54038, 1.73475, 0.75526, -1.33695, 2.41396
150, -0.76219, -2.65853, 2.08700, 0.46729, -0.93391, 2.69089
151, -1.36361, -2.60064, 2.32266, 0.12070, -0.46357, 2.81502
152, -1.90304, -2.37184, 2.42648, -0.25702, 0.03728, 2.77432
153, -2.33987, -1.98895, 2.39157, -0.63549, 0.52930, 2.56752
154, -2.63960, -1.47957, 2.22003, -0.98354, 0.97359, 2.20441
155, -2.77628, -0.88026, 1.92283, -1.27159, 1.33451, 1.70541
156, -2.73457, -0.23403, 1.51919, -1.47376, 1.58235, 1.10029
157, -2.51114, 0.41280, 1.03533, -1.56995, 1.69553, 0.42634
