PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner ===
Ep 0055 | Return:     72.1 | Loss: -2327424.500 | DR: 0.970 | Γ: 1.705 | π: 0.470
Ep 0056 | Return:     70.8 | Loss: -1793349.750 | DR: 0.933 | Γ: 1.678 | π: 0.477
Ep 0057 | Return:     86.1 | Loss: -5460544.000 | DR: 0.927 | Γ: 1.681 | π: 0.472
Ep 0058 | Return:     72.1 | Loss: -2206490.000 | DR: 0.929 | Γ: 1.722 | π: 0.472
Ep 0059 | Return:     71.3 | Loss: -3364955.750 | DR: 0.971 | Γ: 1.664 | π: 0.468
Ep 0060 | Return:     69.1 | Loss: -3645599.000 | DR: 0.940 | Γ: 1.779 | π: 0.469
Ep 0061 | Return:     71.8 | Loss: -2951775.750 | DR: 0.965 | Γ: 1.726 | π: 0.471
Ep 0062 | Return:     72.7 | Loss: -3803391.000 | DR: 0.975 | Γ: 1.694 | π: 0.468
Ep 0063 | Return:     99.8 | Loss: -7838852.000 | DR: 0.923 | Γ: 1.747 | π: 0.471
Ep 0064 | Return:     93.5 | Loss: -6058940.000 | DR: 0.943 | Γ: 1.703 | π: 0.472
Ep 0065 | Return:    108.0 | Loss: -8829248.000 | DR: 0.969 | Γ: 1.742 | π: 0.467
Ep 0066 | Return:     67.4 | Loss: -1687518.250 | DR: 0.959 | Γ: 1.708 | π: 0.468
Ep 0067 | Return:    103.1 | Loss: -9699411.000 | DR: 0.964 | Γ: 1.702 | π: 0.473
Ep 0068 | Return:    108.3 | Loss: -9846730.000 | DR: 0.948 | Γ: 1.714 | π: 0.471
Ep 0069 | Return:    101.8 | Loss: -9481296.000 | DR: 0.917 | Γ: 1.758 | π: 0.471
Ep 0070 | Return:    101.7 | Loss: -8659107.000 | DR: 0.964 | Γ: 1.792 | π: 0.464
Ep 0071 | Return:    137.7 | Loss: -7150291.500 | DR: 0.941 | Γ: 1.706 | π: 0.472
Ep 0072 | Return:    103.2 | Loss: -10405030.000 | DR: 0.920 | Γ: 1.732 | π: 0.475
Ep 0073 | Return:     91.9 | Loss: -9330385.000 | DR: 0.951 | Γ: 1.752 | π: 0.468
Ep 0074 | Return:     76.1 | Loss: -8781032.000 | DR: 0.937 | Γ: 1.720 | π: 0.472
Ep 0075 | Return:     88.7 | Loss: -9216756.000 | DR: 0.920 | Γ: 1.687 | π: 0.477
Ep 0076 | Return:    115.1 | Loss: -11623572.000 | DR: 0.973 | Γ: 1.659 | π: 0.468
Ep 0077 | Return:    103.4 | Loss: -12361953.000 | DR: 0.962 | Γ: 1.762 | π: 0.466
Ep 0078 | Return:    101.1 | Loss: -12955766.000 | DR: 0.947 | Γ: 1.664 | π: 0.473
Ep 0079 | Return:    101.7 | Loss: -12576794.000 | DR: 0.951 | Γ: 1.670 | π: 0.472
Ep 0080 | Return:    107.2 | Loss: -13248106.000 | DR: 0.955 | Γ: 1.721 | π: 0.472
Ep 0081 | Return:    105.6 | Loss: -13282640.000 | DR: 0.922 | Γ: 1.728 | π: 0.473
Ep 0082 | Return:     67.0 | Loss: -2960577.500 | DR: 0.937 | Γ: 1.640 | π: 0.473
Ep 0083 | Return:    110.7 | Loss: -15430657.000 | DR: 0.921 | Γ: 1.708 | π: 0.476
Ep 0084 | Return:    101.6 | Loss: -15144037.000 | DR: 0.948 | Γ: 1.658 | π: 0.469
Ep 0085 | Return:     72.4 | Loss: -4702684.000 | DR: 0.954 | Γ: 1.677 | π: 0.470
Ep 0086 | Return:    101.3 | Loss: -14621249.000 | DR: 0.939 | Γ: 1.615 | π: 0.475
Ep 0087 | Return:    106.0 | Loss: -15937384.000 | DR: 0.956 | Γ: 1.724 | π: 0.468
Ep 0088 | Return:     97.1 | Loss: -13815640.000 | DR: 0.970 | Γ: 1.654 | π: 0.471
Ep 0089 | Return:     99.7 | Loss: -12610678.000 | DR: 0.944 | Γ: 1.785 | π: 0.467
Ep 0090 | Return:     95.9 | Loss: -15611270.000 | DR: 0.953 | Γ: 1.711 | π: 0.473
Ep 0091 | Return:     77.6 | Loss: 8983981.000 | DR: 0.952 | Γ: 1.794 | π: 0.467
Ep 0092 | Return:     71.4 | Loss: -11848541.000 | DR: 0.956 | Γ: 1.718 | π: 0.468
Ep 0093 | Return:    102.2 | Loss: -16565028.000 | DR: 0.962 | Γ: 1.756 | π: 0.467
Ep 0094 | Return:     66.4 | Loss: -8786568.000 | DR: 0.961 | Γ: 1.643 | π: 0.478
Ep 0095 | Return:     81.1 | Loss: 2994747.250 | DR: 0.946 | Γ: 1.661 | π: 0.473
Ep 0096 | Return:     90.8 | Loss: -15914479.000 | DR: 0.944 | Γ: 1.676 | π: 0.471
Ep 0097 | Return:     89.3 | Loss: -14682880.000 | DR: 0.947 | Γ: 1.702 | π: 0.472
Ep 0098 | Return:    112.3 | Loss: -19683544.000 | DR: 0.942 | Γ: 1.757 | π: 0.469
Ep 0099 | Return:     72.4 | Loss: -9903268.000 | DR: 0.943 | Γ: 1.826 | π: 0.468
Ep 0100 | Return:     87.6 | Loss: -12678573.000 | DR: 0.951 | Γ: 1.739 | π: 0.466
Ep 0101 | Return:     93.1 | Loss: -16940390.000 | DR: 0.929 | Γ: 1.758 | π: 0.470
Ep 0102 | Return:     72.0 | Loss: -13406534.000 | DR: 0.948 | Γ: 1.789 | π: 0.465
