PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0052 | Return:    153.9 | Loss:    -324.080 | DR: 0.964 | Γ: 1.714 | π: 0.470
Ep 0053 | Return:    142.8 | Loss:    -219.233 | DR: 0.968 | Γ: 1.717 | π: 0.468
Ep 0054 | Return:    173.4 | Loss:    -974.709 | DR: 0.934 | Γ: 1.719 | π: 0.472
Ep 0055 | Return:    230.2 | Loss:   -3364.926 | DR: 0.954 | Γ: 1.751 | π: 0.468
Ep 0056 | Return:    153.4 | Loss:   -8113.614 | DR: 0.957 | Γ: 1.727 | π: 0.469
Ep 0057 | Return:    125.9 | Loss:  -12725.039 | DR: 0.967 | Γ: 1.845 | π: 0.462
Ep 0058 | Return:    102.1 | Loss:  -43697.617 | DR: 0.924 | Γ: 1.766 | π: 0.469
Ep 0059 | Return:    106.7 | Loss: -263347.000 | DR: 0.955 | Γ: 1.695 | π: 0.471
Ep 0060 | Return:    107.3 | Loss: -595222.062 | DR: 0.948 | Γ: 1.735 | π: 0.469
Ep 0061 | Return:    123.6 | Loss: -695323.875 | DR: 0.948 | Γ: 1.765 | π: 0.470
Ep 0062 | Return:    103.8 | Loss: -176455.453 | DR: 0.946 | Γ: 1.743 | π: 0.469
Ep 0063 | Return:    120.0 | Loss: -440349.750 | DR: 0.953 | Γ: 1.721 | π: 0.469
Ep 0064 | Return:    138.3 | Loss: -485012.719 | DR: 0.938 | Γ: 1.714 | π: 0.471
Ep 0065 | Return:    140.3 | Loss:  300266.906 | DR: 0.934 | Γ: 1.676 | π: 0.474
Ep 0066 | Return:    144.0 | Loss: -1337964.125 | DR: 0.944 | Γ: 1.720 | π: 0.468
Ep 0067 | Return:    135.8 | Loss: -1296795.750 | DR: 0.932 | Γ: 1.694 | π: 0.472
Ep 0068 | Return:    191.4 | Loss: -2623075.000 | DR: 0.935 | Γ: 1.739 | π: 0.470
Ep 0069 | Return:    211.6 | Loss: -167883.500 | DR: 0.944 | Γ: 1.621 | π: 0.475
Ep 0070 | Return:    181.3 | Loss: -2697307.250 | DR: 0.938 | Γ: 1.634 | π: 0.475
Ep 0071 | Return:    133.3 | Loss: -2694539.750 | DR: 0.950 | Γ: 1.714 | π: 0.471
