PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_fuzz.py
--- Pre-populating replay buffer with 10000 random steps... ---
--- Warm-up complete. Starting training. ---
Episode 123: Score=103 | Top-15 Avg=318.00
Episode 124: Score=71 | Top-15 Avg=318.00
Episode 125: Score=92 | Top-15 Avg=318.00
Episode 126: Score=86 | Top-15 Avg=318.00
Episode 127: Score=94 | Top-15 Avg=318.00
Episode 128: Score=88 | Top-15 Avg=318.00
Episode 129: Score=60 | Top-15 Avg=318.00
Episode 130: Score=60 | Top-15 Avg=318.00
Episode 131: Score=86 | Top-15 Avg=318.00
Episode 132: Score=70 | Top-15 Avg=318.00
Episode 133: Score=64 | Top-15 Avg=318.00
Episode 134: Score=53 | Top-15 Avg=318.00
Episode 135: Score=73 | Top-15 Avg=318.00
Episode 136: Score=55 | Top-15 Avg=318.00
Episode 137: Score=71 | Top-15 Avg=318.00
Episode 138: Score=79 | Top-15 Avg=318.00
Episode 139: Score=66 | Top-15 Avg=318.00
Episode 140: Score=65 | Top-15 Avg=318.00
Episode 141: Score=78 | Top-15 Avg=318.00
Episode 142: Score=53 | Top-15 Avg=318.00
Episode 143: Score=69 | Top-15 Avg=318.00
Episode 144: Score=64 | Top-15 Avg=318.00
Episode 145: Score=64 | Top-15 Avg=318.00
Episode 146: Score=82 | Top-15 Avg=318.00
Episode 147: Score=58 | Top-15 Avg=318.00
Episode 148: Score=83 | Top-15 Avg=318.00
Episode 149: Score=66 | Top-15 Avg=318.00
Episode 150: Score=53 | Top-15 Avg=318.00
Episode 151: Score=67 | Top-15 Avg=318.00
Episode 152: Score=60 | Top-15 Avg=318.00
Episode 153: Score=62 | Top-15 Avg=318.00
Episode 154: Score=64 | Top-15 Avg=318.00
Episode 155: Score=55 | Top-15 Avg=318.00
Episode 156: Score=117 | Top-15 Avg=318.00
Episode 157: Score=71 | Top-15 Avg=318.00
Episode 158: Score=84 | Top-15 Avg=318.00
Episode 159: Score=75 | Top-15 Avg=318.00
Episode 160: Score=118 | Top-15 Avg=318.00
Episode 161: Score=125 | Top-15 Avg=318.00
Episode 162: Score=500 | Top-15 Avg=335.47
Episode 163: Score=500 | Top-15 Avg=352.60
Episode 164: Score=500 | Top-15 Avg=369.07
Episode 165: Score=386 | Top-15 Avg=377.67
Episode 166: Score=500 | Top-15 Avg=393.67
Episode 167: Score=500 | Top-15 Avg=409.60
Episode 168: Score=500 | Top-15 Avg=424.80
Episode 169: Score=500 | Top-15 Avg=439.00
Episode 170: Score=500 | Top-15 Avg=452.80
Episode 171: Score=500 | Top-15 Avg=465.87
Episode 172: Score=500 | Top-15 Avg=476.60
Episode 173: Score=500 | Top-15 Avg=486.33
Episode 174: Score=500 | Top-15 Avg=493.93
Episode 175: Score=500 | Top-15 Avg=497.87

*** MASTERY ACHIEVED ***
Top-15 average score (497.87) hit the target.
--- Training Complete ---
