PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_minimalist.py
--- Pre-populating replay buffer with 10000 random steps... ---
--- Warm-up complete. Starting training. ---
Episode 123: Score=172 | Top-15 Avg=294.40
Episode 124: Score=175 | Top-15 Avg=294.40
Episode 125: Score=169 | Top-15 Avg=294.40
Episode 126: Score=117 | Top-15 Avg=294.40
Episode 127: Score=116 | Top-15 Avg=294.40
Episode 128: Score=500 | Top-15 Avg=311.40
Episode 129: Score=190 | Top-15 Avg=311.40
Episode 130: Score=193 | Top-15 Avg=311.40
Episode 131: Score=447 | Top-15 Avg=323.87
Episode 132: Score=245 | Top-15 Avg=323.87
Episode 133: Score=500 | Top-15 Avg=339.67
Episode 134: Score=500 | Top-15 Avg=355.33
Episode 135: Score=500 | Top-15 Avg=370.93
Episode 136: Score=500 | Top-15 Avg=386.40
Episode 137: Score=500 | Top-15 Avg=400.27
Episode 138: Score=500 | Top-15 Avg=413.87
Episode 139: Score=500 | Top-15 Avg=427.33
Episode 140: Score=500 | Top-15 Avg=439.60
Episode 141: Score=500 | Top-15 Avg=451.80
Episode 142: Score=500 | Top-15 Avg=463.87
Episode 143: Score=500 | Top-15 Avg=475.73
Episode 144: Score=500 | Top-15 Avg=486.80
Episode 145: Score=500 | Top-15 Avg=496.47

*** MASTERY ACHIEVED ***
Top-15 average score (496.47) hit the target.
--- Training Complete ---
