PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi.py
[Pendulum-v1] Ep 0079 | R=-1415.67 | len=200 | loss=-0.313
[Pendulum-v1] Ep 0080 | R=-1372.72 | len=200 | loss=-0.205
[Pendulum-v1] Ep 0081 | R=-1465.78 | len=200 | loss=-0.191
[Pendulum-v1] Ep 0082 | R=-1550.09 | len=200 | loss=-0.072
[Pendulum-v1] Ep 0083 | R=-1561.67 | len=200 | loss=0.076
[Pendulum-v1] Ep 0084 | R=-1563.41 | len=200 | loss=-0.010
[Pendulum-v1] Ep 0085 | R=-1451.59 | len=200 | loss=-0.378
[Pendulum-v1] Ep 0086 | R=-1555.35 | len=200 | loss=0.038
[Pendulum-v1] Ep 0087 | R=-1588.40 | len=200 | loss=-0.160
[Pendulum-v1] Ep 0088 | R=-1454.44 | len=200 | loss=-0.263
[Pendulum-v1] Ep 0089 | R=-1590.50 | len=200 | loss=0.074
[Pendulum-v1] Ep 0090 | R=-1525.87 | len=200 | loss=-0.333
[Pendulum-v1] Ep 0091 | R=-1399.76 | len=200 | loss=-0.234
[Pendulum-v1] Ep 0092 | R=-1575.66 | len=200 | loss=0.077
[Pendulum-v1] Ep 0093 | R=-1634.62 | len=200 | loss=-0.041
[Pendulum-v1] Ep 0094 | R=-1510.84 | len=200 | loss=-0.125
[Pendulum-v1] Ep 0095 | R=-1381.67 | len=200 | loss=-0.166
[Pendulum-v1] Ep 0096 | R=-1570.63 | len=200 | loss=-0.185
[Pendulum-v1] Ep 0097 | R=-1539.64 | len=200 | loss=-0.055
[Pendulum-v1] Ep 0098 | R=-1541.06 | len=200 | loss=-0.081
[Pendulum-v1] Ep 0099 | R=-1501.05 | len=200 | loss=-0.147
[Pendulum-v1] Ep 0100 | R=-1497.02 | len=200 | loss=-0.019
[Pendulum-v1] Ep 0101 | R=-1525.77 | len=200 | loss=-0.196
[Pendulum-v1] Ep 0102 | R=-1519.75 | len=200 | loss=-0.236
[Pendulum-v1] Ep 0103 | R=-1597.40 | len=200 | loss=-0.152
[Pendulum-v1] Ep 0104 | R=-1474.89 | len=200 | loss=-0.270
[Pendulum-v1] Ep 0105 | R=-1580.48 | len=200 | loss=-0.034
[Pendulum-v1] Ep 0106 | R=-1492.52 | len=200 | loss=-0.373
[Pendulum-v1] Ep 0107 | R=-1564.68 | len=200 | loss=-0.125
[Pendulum-v1] Ep 0108 | R=-1449.10 | len=200 | loss=-0.313
[Pendulum-v1] Ep 0109 | R=-1552.72 | len=200 | loss=-0.022
[Pendulum-v1] Ep 0110 | R=-1597.62 | len=200 | loss=-0.015
[Pendulum-v1] Ep 0111 | R=-1635.99 | len=200 | loss=-0.008
[Pendulum-v1] Ep 0112 | R=-1663.38 | len=200 | loss=0.088
[Pendulum-v1] Ep 0113 | R=-1579.79 | len=200 | loss=-0.030
[Pendulum-v1] Ep 0114 | R=-1587.14 | len=200 | loss=0.078
[Pendulum-v1] Ep 0115 | R=-1648.33 | len=200 | loss=-0.023
[Pendulum-v1] Ep 0116 | R=-1665.44 | len=200 | loss=-0.062
[Pendulum-v1] Ep 0117 | R=-1492.16 | len=200 | loss=-0.156
[Pendulum-v1] Ep 0118 | R=-1543.43 | len=200 | loss=-0.187
[Pendulum-v1] Ep 0119 | R=-1478.38 | len=200 | loss=-0.164
[Pendulum-v1] Ep 0120 | R=-1539.48 | len=200 | loss=-0.041
[Pendulum-v1] Ep 0121 | R=-1482.62 | len=200 | loss=-0.159
[Pendulum-v1] Ep 0122 | R=-1553.40 | len=200 | loss=-0.240
[Pendulum-v1] Ep 0123 | R=-1622.16 | len=200 | loss=-0.002
[Pendulum-v1] Ep 0124 | R=-1542.88 | len=200 | loss=-0.006
[Pendulum-v1] Ep 0125 | R=-1532.25 | len=200 | loss=0.037
[Pendulum-v1] Ep 0126 | R=-1562.25 | len=200 | loss=0.004
[Pendulum-v1] Ep 0127 | R=-1421.50 | len=200 | loss=-0.019
[Pendulum-v1] Ep 0128 | R=-1439.10 | len=200 | loss=-0.262
[Pendulum-v1] Ep 0129 | R=-1320.19 | len=200 | loss=-0.195
[Pendulum-v1] Ep 0130 | R=-1411.31 | len=200 | loss=-0.103
[Pendulum-v1] Ep 0131 | R=-1372.44 | len=200 | loss=-0.154
[Pendulum-v1] Ep 0132 | R=-1123.46 | len=200 | loss=-0.010
[Pendulum-v1] Ep 0133 | R=-1213.79 | len=200 | loss=-0.066
[Pendulum-v1] Ep 0134 | R=-1571.06 | len=200 | loss=0.007
[Pendulum-v1] Ep 0135 | R=-1378.20 | len=200 | loss=-0.072
[Pendulum-v1] Ep 0136 | R=-1561.81 | len=200 | loss=-0.031
[Pendulum-v1] Ep 0137 | R=-1780.55 | len=200 | loss=0.096
[Pendulum-v1] Ep 0138 | R=-1445.23 | len=200 | loss=0.115
[Pendulum-v1] Ep 0139 | R=-1480.76 | len=200 | loss=-0.064
[Pendulum-v1] Ep 0140 | R=-1591.38 | len=200 | loss=-0.043
[Pendulum-v1] Ep 0141 | R=-1171.14 | len=200 | loss=0.015
[Pendulum-v1] Ep 0142 | R=-1452.78 | len=200 | loss=0.108
[Pendulum-v1] Ep 0143 | R=-1511.65 | len=200 | loss=0.170
[Pendulum-v1] Ep 0144 | R=-1564.82 | len=200 | loss=0.092
[Pendulum-v1] Ep 0145 | R=-1530.83 | len=200 | loss=0.179
[Pendulum-v1] Ep 0146 | R=-1707.07 | len=200 | loss=0.069
[Pendulum-v1] Ep 0147 | R=-1548.94 | len=200 | loss=0.145
[Pendulum-v1] Ep 0148 | R=-1402.39 | len=200 | loss=-0.064
[Pendulum-v1] Ep 0149 | R=-1502.56 | len=200 | loss=0.161
[Pendulum-v1] Ep 0150 | R=-1514.38 | len=200 | loss=0.126
[Pendulum-v1] Ep 0151 | R=-1484.69 | len=200 | loss=0.091
[Pendulum-v1] Ep 0152 | R=-1356.39 | len=200 | loss=0.065
[Pendulum-v1] Ep 0153 | R=-1465.58 | len=200 | loss=0.086
[Pendulum-v1] Ep 0154 | R=-1734.63 | len=200 | loss=0.064
[Pendulum-v1] Ep 0155 | R=-1354.51 | len=200 | loss=0.053
[Pendulum-v1] Ep 0156 | R=-1701.32 | len=200 | loss=-0.095
[Pendulum-v1] Ep 0157 | R=-1252.14 | len=200 | loss=0.068
[Pendulum-v1] Ep 0158 | R=-1577.18 | len=200 | loss=0.013
[Pendulum-v1] Ep 0159 | R=-1540.01 | len=200 | loss=-0.009
[Pendulum-v1] Ep 0160 | R=-1298.89 | len=200 | loss=0.062
[Pendulum-v1] Ep 0161 | R=-1202.73 | len=200 | loss=-0.115
[Pendulum-v1] Ep 0162 | R=-1282.74 | len=200 | loss=0.016
[Pendulum-v1] Ep 0163 | R=-1485.99 | len=200 | loss=-0.039
[Pendulum-v1] Ep 0164 | R=-1565.64 | len=200 | loss=0.121
[Pendulum-v1] Ep 0165 | R=-1207.66 | len=200 | loss=-0.110
[Pendulum-v1] Ep 0166 | R=-1622.73 | len=200 | loss=-0.104
[Pendulum-v1] Ep 0167 | R=-1246.78 | len=200 | loss=0.092
[Pendulum-v1] Ep 0168 | R=-1114.23 | len=200 | loss=-0.079
[Pendulum-v1] Ep 0169 | R=-1667.03 | len=200 | loss=-0.032
[Pendulum-v1] Ep 0170 | R=-1287.26 | len=200 | loss=-0.071
[Pendulum-v1] Ep 0171 | R=-1343.21 | len=200 | loss=0.091
[Pendulum-v1] Ep 0172 | R=-1084.75 | len=200 | loss=-0.160
[Pendulum-v1] Ep 0173 | R=-1218.57 | len=200 | loss=-0.092
[Pendulum-v1] Ep 0174 | R=-1406.50 | len=200 | loss=0.030
[Pendulum-v1] Ep 0175 | R=-1326.63 | len=200 | loss=0.032
[Pendulum-v1] Ep 0176 | R=-1596.36 | len=200 | loss=-0.207
[Pendulum-v1] Ep 0177 | R=-1487.66 | len=200 | loss=0.058
[Pendulum-v1] Ep 0178 | R=-1322.37 | len=200 | loss=-0.110
[Pendulum-v1] Ep 0179 | R=-1498.71 | len=200 | loss=-0.105
[Pendulum-v1] Ep 0180 | R=-1198.62 | len=200 | loss=0.012
[Pendulum-v1] Ep 0181 | R=-1244.19 | len=200 | loss=-0.126
[Pendulum-v1] Ep 0182 | R=-1032.91 | len=200 | loss=0.009
[Pendulum-v1] Ep 0183 | R=-1173.98 | len=200 | loss=0.111
[Pendulum-v1] Ep 0184 | R=-1099.01 | len=200 | loss=0.095
[Pendulum-v1] Ep 0185 | R=-1511.54 | len=200 | loss=-0.112
[Pendulum-v1] Ep 0186 | R=-1205.13 | len=200 | loss=0.165
[Pendulum-v1] Ep 0187 | R=-1298.92 | len=200 | loss=-0.155
[Pendulum-v1] Ep 0188 | R=-1249.46 | len=200 | loss=0.102
[Pendulum-v1] Ep 0189 | R=-1536.39 | len=200 | loss=-0.013
[Pendulum-v1] Ep 0190 | R=-1527.59 | len=200 | loss=0.111
[Pendulum-v1] Ep 0191 | R=-1539.60 | len=200 | loss=-0.124
[Pendulum-v1] Ep 0192 | R=-1168.58 | len=200 | loss=0.019
[Pendulum-v1] Ep 0193 | R=-1357.77 | len=200 | loss=-0.022
[Pendulum-v1] Ep 0194 | R=-1185.31 | len=200 | loss=-0.232
[Pendulum-v1] Ep 0195 | R=-1441.05 | len=200 | loss=-0.039
[Pendulum-v1] Ep 0196 | R=-1538.12 | len=200 | loss=0.019
[Pendulum-v1] Ep 0197 | R=-1494.47 | len=200 | loss=-0.123
[Pendulum-v1] Ep 0198 | R=-1475.62 | len=200 | loss=0.087
[Pendulum-v1] Ep 0199 | R=-1410.76 | len=200 | loss=0.028
[Pendulum-v1] Ep 0200 | R=-1295.75 | len=200 | loss=-0.045
[Pendulum-v1] Ep 0201 | R=-1434.99 | len=200 | loss=0.067
[Pendulum-v1] Ep 0202 | R=-1308.78 | len=200 | loss=-0.074
[Pendulum-v1] Ep 0203 | R=-1292.56 | len=200 | loss=0.012
[Pendulum-v1] Ep 0204 | R=-1527.32 | len=200 | loss=0.113
[Pendulum-v1] Ep 0205 | R=-1509.09 | len=200 | loss=-0.064
[Pendulum-v1] Ep 0206 | R=-1346.33 | len=200 | loss=0.089
[Pendulum-v1] Ep 0207 | R=-1403.90 | len=200 | loss=-0.025
[Pendulum-v1] Ep 0208 | R=-1389.03 | len=200 | loss=-0.103
[Pendulum-v1] Ep 0209 | R=-1318.55 | len=200 | loss=0.019
[Pendulum-v1] Ep 0210 | R=-1127.75 | len=200 | loss=0.007
[Pendulum-v1] Ep 0211 | R=-1286.83 | len=200 | loss=0.087
[Pendulum-v1] Ep 0212 | R=-1167.82 | len=200 | loss=0.218
[Pendulum-v1] Ep 0213 | R=-1172.36 | len=200 | loss=0.038
[Pendulum-v1] Ep 0214 | R=-1258.36 | len=200 | loss=0.048
[Pendulum-v1] Ep 0215 | R=-1232.06 | len=200 | loss=-0.098
[Pendulum-v1] Ep 0216 | R=-1161.65 | len=200 | loss=0.130
[Pendulum-v1] Ep 0217 | R=-1029.27 | len=200 | loss=0.012
[Pendulum-v1] Ep 0218 | R=-1191.66 | len=200 | loss=0.023
[Pendulum-v1] Ep 0219 | R=-1190.32 | len=200 | loss=0.126
[Pendulum-v1] Ep 0220 | R=-1190.81 | len=200 | loss=-0.035
[Pendulum-v1] Ep 0221 | R=-1380.95 | len=200 | loss=0.130
[Pendulum-v1] Ep 0222 | R=-1273.27 | len=200 | loss=0.014
[Pendulum-v1] Ep 0223 | R=-1486.10 | len=200 | loss=0.144
[Pendulum-v1] Ep 0224 | R=-1629.39 | len=200 | loss=-0.043
[Pendulum-v1] Ep 0225 | R=-1009.32 | len=200 | loss=-0.117
[Pendulum-v1] Ep 0226 | R=-1487.71 | len=200 | loss=-0.000
[Pendulum-v1] Ep 0227 | R=-1717.87 | len=200 | loss=0.132
[Pendulum-v1] Ep 0228 | R=-1496.88 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0229 | R=-1392.88 | len=200 | loss=0.065
[Pendulum-v1] Ep 0230 | R=-1640.75 | len=200 | loss=0.069
[Pendulum-v1] Ep 0231 | R=-1769.07 | len=200 | loss=-0.020
[Pendulum-v1] Ep 0232 | R=-1659.23 | len=200 | loss=0.012
[Pendulum-v1] Ep 0233 | R=-1666.23 | len=200 | loss=0.079
[Pendulum-v1] Ep 0234 | R=-1664.21 | len=200 | loss=0.016
[Pendulum-v1] Ep 0235 | R=-1548.08 | len=200 | loss=0.157
[Pendulum-v1] Ep 0236 | R=-1605.30 | len=200 | loss=0.007
[Pendulum-v1] Ep 0237 | R=-1205.94 | len=200 | loss=0.006
[Pendulum-v1] Ep 0238 | R=-1371.39 | len=200 | loss=0.052
[Pendulum-v1] Ep 0239 | R=-1355.11 | len=200 | loss=-0.037
[Pendulum-v1] Ep 0240 | R=-1681.96 | len=200 | loss=0.088
[Pendulum-v1] Ep 0241 | R=-1751.04 | len=200 | loss=0.027
[Pendulum-v1] Ep 0242 | R=-1482.84 | len=200 | loss=0.045
[Pendulum-v1] Ep 0243 | R=-1663.83 | len=200 | loss=0.083
[Pendulum-v1] Ep 0244 | R=-1659.61 | len=200 | loss=0.137
[Pendulum-v1] Ep 0245 | R=-1512.34 | len=200 | loss=0.156
[Pendulum-v1] Ep 0246 | R=-1451.21 | len=200 | loss=0.080
[Pendulum-v1] Ep 0247 | R=-1504.45 | len=200 | loss=0.190
[Pendulum-v1] Ep 0248 | R=-1383.02 | len=200 | loss=0.131
[Pendulum-v1] Ep 0249 | R=-1709.81 | len=200 | loss=0.015
