PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[CartPole-v1] Ep 0076 | R_raw= 213.00 | len=213 | loss=-0.019
[CartPole-v1] Ep 0077 | R_raw= 149.00 | len=149 | loss=0.003
[CartPole-v1] Ep 0078 | R_raw= 212.00 | len=212 | loss=-0.026
[CartPole-v1] Ep 0079 | R_raw= 219.00 | len=219 | loss=0.030
[CartPole-v1] Ep 0080 | R_raw= 210.00 | len=210 | loss=-0.023
[CartPole-v1] Ep 0081 | R_raw=  23.00 | len= 23 | loss=0.082
[CartPole-v1] Ep 0082 | R_raw= 237.00 | len=237 | loss=0.006
[CartPole-v1] Ep 0083 | R_raw= 288.00 | len=288 | loss=-0.032
[CartPole-v1] Ep 0084 | R_raw= 434.00 | len=434 | loss=-0.022
[CartPole-v1] Ep 0085 | R_raw= 300.00 | len=300 | loss=0.009
[CartPole-v1] Ep 0086 | R_raw= 115.00 | len=115 | loss=-0.005
[CartPole-v1] Ep 0087 | R_raw=  77.00 | len= 77 | loss=-0.013
[CartPole-v1] Ep 0088 | R_raw= 399.00 | len=399 | loss=0.003
[CartPole-v1] Ep 0089 | R_raw= 242.00 | len=242 | loss=0.010
[CartPole-v1] Ep 0090 | R_raw=  65.00 | len= 65 | loss=0.080
[CartPole-v1] Ep 0091 | R_raw= 500.00 | len=500 | loss=-0.029
[CartPole-v1] Ep 0092 | R_raw= 136.00 | len=136 | loss=0.003
[CartPole-v1] Ep 0093 | R_raw= 158.00 | len=158 | loss=0.015
[CartPole-v1] Ep 0094 | R_raw= 174.00 | len=174 | loss=0.016
[CartPole-v1] Ep 0095 | R_raw= 217.00 | len=217 | loss=0.002
[CartPole-v1] Ep 0096 | R_raw= 218.00 | len=218 | loss=0.021
[CartPole-v1] Ep 0097 | R_raw= 254.00 | len=254 | loss=-0.032
[CartPole-v1] Ep 0098 | R_raw= 252.00 | len=252 | loss=0.006
[CartPole-v1] Ep 0099 | R_raw= 203.00 | len=203 | loss=-0.021
[CartPole-v1] Ep 0100 | R_raw= 429.00 | len=429 | loss=-0.005
[CartPole-v1] Ep 0101 | R_raw= 316.00 | len=316 | loss=-0.021
[CartPole-v1] Ep 0102 | R_raw= 186.00 | len=186 | loss=0.012
[CartPole-v1] Ep 0103 | R_raw= 297.00 | len=297 | loss=0.022
[CartPole-v1] Ep 0104 | R_raw= 410.00 | len=410 | loss=0.025
[CartPole-v1] Ep 0105 | R_raw= 218.00 | len=218 | loss=0.043
[CartPole-v1] Ep 0106 | R_raw= 236.00 | len=236 | loss=0.021
[CartPole-v1] Ep 0107 | R_raw= 268.00 | len=268 | loss=-0.011
[CartPole-v1] Ep 0108 | R_raw= 134.00 | len=134 | loss=-0.111
[CartPole-v1] Ep 0109 | R_raw= 467.00 | len=467 | loss=-0.015
[CartPole-v1] Ep 0110 | R_raw= 196.00 | len=196 | loss=0.010
[CartPole-v1] Ep 0111 | R_raw= 235.00 | len=235 | loss=0.000
[CartPole-v1] Ep 0112 | R_raw= 174.00 | len=174 | loss=-0.010
[CartPole-v1] Ep 0113 | R_raw= 155.00 | len=155 | loss=0.008
[CartPole-v1] Ep 0114 | R_raw= 177.00 | len=177 | loss=0.049
[CartPole-v1] Ep 0115 | R_raw= 145.00 | len=145 | loss=0.019
[CartPole-v1] Ep 0116 | R_raw= 225.00 | len=225 | loss=-0.023
[CartPole-v1] Ep 0117 | R_raw= 178.00 | len=178 | loss=-0.010
[CartPole-v1] Ep 0118 | R_raw= 137.00 | len=137 | loss=-0.018
[CartPole-v1] Ep 0119 | R_raw= 171.00 | len=171 | loss=0.013
[CartPole-v1] Ep 0120 | R_raw= 122.00 | len=122 | loss=0.022
[CartPole-v1] Ep 0121 | R_raw=  97.00 | len= 97 | loss=0.003
