PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_cartpole.py
Ep 0114 | R= 180 | len=180 | loss=-0.040
Ep 0115 | R= 450 | len=450 | loss=-0.034
Ep 0116 | R= 308 | len=308 | loss=-0.021
Ep 0117 | R= 147 | len=147 | loss=-0.002
Ep 0118 | R= 115 | len=115 | loss=0.013
Ep 0119 | R= 438 | len=438 | loss=-0.023
Ep 0120 | R= 500 | len=500 | loss=-0.018
Ep 0121 | R= 241 | len=241 | loss=-0.066
Ep 0122 | R= 303 | len=303 | loss=-0.028
Ep 0123 | R= 176 | len=176 | loss=0.004
Ep 0124 | R= 225 | len=225 | loss=0.020
Ep 0125 | R= 190 | len=190 | loss=-0.027
Ep 0126 | R= 164 | len=164 | loss=-0.025
Ep 0127 | R= 167 | len=167 | loss=-0.035
Ep 0128 | R= 214 | len=214 | loss=-0.008
Ep 0129 | R= 288 | len=288 | loss=-0.002
Ep 0130 | R= 157 | len=157 | loss=0.032
Ep 0131 | R= 162 | len=162 | loss=-0.014
Ep 0132 | R= 127 | len=127 | loss=-0.006
Ep 0133 | R= 106 | len=106 | loss=0.016
Ep 0134 | R= 175 | len=175 | loss=-0.003
Ep 0135 | R=  99 | len= 99 | loss=-0.010
Ep 0136 | R= 178 | len=178 | loss=-0.016
Ep 0137 | R= 120 | len=120 | loss=-0.041
Ep 0138 | R= 129 | len=129 | loss=-0.045
Ep 0139 | R= 111 | len=111 | loss=0.014
Ep 0140 | R= 141 | len=141 | loss=-0.029
Ep 0141 | R= 158 | len=158 | loss=0.017
Ep 0142 | R= 178 | len=178 | loss=0.002
Ep 0143 | R= 149 | len=149 | loss=0.007
Ep 0144 | R= 134 | len=134 | loss=-0.100
Ep 0145 | R= 193 | len=193 | loss=-0.035
Ep 0146 | R= 108 | len=108 | loss=-0.037
Ep 0147 | R= 133 | len=133 | loss=-0.001
Ep 0148 | R= 124 | len=124 | loss=-0.018
Ep 0149 | R= 249 | len=249 | loss=-0.014
