PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0055 | R_raw=-1172.88 | len=200 | actor_loss=0.023 | critic_loss=65014.035
[Pendulum-Min] Ep 0056 | R_raw=-1071.17 | len=200 | actor_loss=-0.034 | critic_loss=60615.969
[Pendulum-Min] Ep 0057 | R_raw=-751.60 | len=200 | actor_loss=0.060 | critic_loss=24305.287
[Pendulum-Min] Ep 0058 | R_raw=-760.20 | len=200 | actor_loss=0.083 | critic_loss=26705.115
[Pendulum-Min] Ep 0059 | R_raw=-1028.87 | len=200 | actor_loss=0.044 | critic_loss=53749.594
[Pendulum-Min] Ep 0060 | R_raw=-1010.60 | len=200 | actor_loss=0.026 | critic_loss=47553.301
[Pendulum-Min] Ep 0061 | R_raw=-1180.84 | len=200 | actor_loss=0.039 | critic_loss=69244.664
[Pendulum-Min] Ep 0062 | R_raw=-1448.12 | len=200 | actor_loss=-0.042 | critic_loss=101356.477
[Pendulum-Min] Ep 0063 | R_raw=-996.94 | len=200 | actor_loss=0.052 | critic_loss=47229.055
[Pendulum-Min] Ep 0064 | R_raw=-1507.74 | len=200 | actor_loss=0.021 | critic_loss=110344.219
[Pendulum-Min] Ep 0065 | R_raw=-1279.78 | len=200 | actor_loss=0.041 | critic_loss=79479.430
[Pendulum-Min] Ep 0066 | R_raw=-1794.11 | len=200 | actor_loss=0.036 | critic_loss=150220.062
[Pendulum-Min] Ep 0067 | R_raw=-1593.00 | len=200 | actor_loss=-0.047 | critic_loss=116680.508
[Pendulum-Min] Ep 0068 | R_raw=-1396.38 | len=200 | actor_loss=0.020 | critic_loss=91450.914
[Pendulum-Min] Ep 0069 | R_raw=-1405.89 | len=200 | actor_loss=-0.018 | critic_loss=92376.688
[Pendulum-Min] Ep 0070 | R_raw=-1392.68 | len=200 | actor_loss=-0.056 | critic_loss=96095.789
[Pendulum-Min] Ep 0071 | R_raw=-946.29 | len=200 | actor_loss=0.012 | critic_loss=40943.816
[Pendulum-Min] Ep 0072 | R_raw=-952.83 | len=200 | actor_loss=0.059 | critic_loss=49011.039
[Pendulum-Min] Ep 0073 | R_raw=-990.84 | len=200 | actor_loss=0.024 | critic_loss=52130.078
[Pendulum-Min] Ep 0074 | R_raw=-972.46 | len=200 | actor_loss=0.074 | critic_loss=42042.348
