PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[BipedalWalker-v3] Ep 0071 | R_raw=-118.02 | len= 54 | loss=0.061
[BipedalWalker-v3] Ep 0072 | R_raw=-117.07 | len=202 | loss=0.084
[BipedalWalker-v3] Ep 0073 | R_raw=-113.81 | len= 58 | loss=0.126
[BipedalWalker-v3] Ep 0074 | R_raw=-114.19 | len= 81 | loss=-0.097
[BipedalWalker-v3] Ep 0075 | R_raw=-117.15 | len= 60 | loss=-0.031
[BipedalWalker-v3] Ep 0076 | R_raw=-116.82 | len= 77 | loss=-0.009
[BipedalWalker-v3] Ep 0077 | R_raw=-114.90 | len= 59 | loss=0.034
[BipedalWalker-v3] Ep 0078 | R_raw=-115.41 | len= 52 | loss=0.094
[BipedalWalker-v3] Ep 0079 | R_raw=-117.03 | len= 65 | loss=0.062
[BipedalWalker-v3] Ep 0080 | R_raw=-114.01 | len= 68 | loss=-0.032
[BipedalWalker-v3] Ep 0081 | R_raw=-118.95 | len=140 | loss=0.044
[BipedalWalker-v3] Ep 0082 | R_raw=-113.83 | len= 45 | loss=-0.044
[BipedalWalker-v3] Ep 0083 | R_raw=-116.02 | len= 58 | loss=-0.026
[BipedalWalker-v3] Ep 0084 | R_raw=-117.24 | len= 59 | loss=0.071
[BipedalWalker-v3] Ep 0085 | R_raw=-117.60 | len= 62 | loss=-0.034
[BipedalWalker-v3] Ep 0086 | R_raw=-116.04 | len= 68 | loss=-0.053
[BipedalWalker-v3] Ep 0087 | R_raw=-110.66 | len= 41 | loss=-0.001
[BipedalWalker-v3] Ep 0088 | R_raw=-113.16 | len= 51 | loss=0.073
[BipedalWalker-v3] Ep 0089 | R_raw=-114.75 | len= 74 | loss=-0.024
[BipedalWalker-v3] Ep 0090 | R_raw=-111.99 | len= 48 | loss=0.048
[BipedalWalker-v3] Ep 0091 | R_raw= -37.51 | len=1600 | loss=0.005
[BipedalWalker-v3] Ep 0092 | R_raw=-117.30 | len= 55 | loss=-0.041
[BipedalWalker-v3] Ep 0093 | R_raw=-114.80 | len= 53 | loss=-0.002
[BipedalWalker-v3] Ep 0094 | R_raw=-117.37 | len=154 | loss=0.058
[BipedalWalker-v3] Ep 0095 | R_raw=-134.03 | len=753 | loss=-0.001
[BipedalWalker-v3] Ep 0096 | R_raw=-116.66 | len= 71 | loss=-0.007
[BipedalWalker-v3] Ep 0097 | R_raw=-114.84 | len= 44 | loss=-0.040
[BipedalWalker-v3] Ep 0098 | R_raw=-115.92 | len= 57 | loss=0.045
[BipedalWalker-v3] Ep 0099 | R_raw=-116.02 | len= 71 | loss=-0.036
[BipedalWalker-v3] Ep 0100 | R_raw=-113.97 | len= 45 | loss=-0.026
[BipedalWalker-v3] Ep 0101 | R_raw=-127.06 | len=420 | loss=-0.010
[BipedalWalker-v3] Ep 0102 | R_raw=-115.87 | len= 57 | loss=-0.055
[BipedalWalker-v3] Ep 0103 | R_raw=-116.66 | len= 68 | loss=0.021
[BipedalWalker-v3] Ep 0104 | R_raw=-113.02 | len= 40 | loss=-0.054
[BipedalWalker-v3] Ep 0105 | R_raw=-115.46 | len= 98 | loss=-0.025
[BipedalWalker-v3] Ep 0106 | R_raw=-111.50 | len= 44 | loss=-0.107
[BipedalWalker-v3] Ep 0107 | R_raw=-113.63 | len= 47 | loss=-0.033
[BipedalWalker-v3] Ep 0108 | R_raw=-115.09 | len= 74 | loss=0.125
[BipedalWalker-v3] Ep 0109 | R_raw=-116.48 | len= 55 | loss=0.046
[BipedalWalker-v3] Ep 0110 | R_raw=-115.96 | len= 50 | loss=0.074
[BipedalWalker-v3] Ep 0111 | R_raw=-115.24 | len= 57 | loss=0.081
[BipedalWalker-v3] Ep 0112 | R_raw=-112.96 | len= 52 | loss=-0.021
[BipedalWalker-v3] Ep 0113 | R_raw=-114.06 | len= 47 | loss=0.200
[BipedalWalker-v3] Ep 0114 | R_raw=-114.99 | len= 61 | loss=-0.135
[BipedalWalker-v3] Ep 0115 | R_raw=-113.79 | len= 47 | loss=0.141
[BipedalWalker-v3] Ep 0116 | R_raw=-115.16 | len= 52 | loss=0.046
[BipedalWalker-v3] Ep 0117 | R_raw=-115.22 | len= 73 | loss=-0.064
[BipedalWalker-v3] Ep 0118 | R_raw=-118.48 | len= 64 | loss=-0.125
[BipedalWalker-v3] Ep 0119 | R_raw=-110.18 | len= 45 | loss=-0.063
[BipedalWalker-v3] Ep 0120 | R_raw=-116.88 | len= 81 | loss=0.106
[BipedalWalker-v3] Ep 0121 | R_raw=-111.35 | len= 45 | loss=-0.009
[BipedalWalker-v3] Ep 0122 | R_raw=-114.50 | len= 58 | loss=0.127
[BipedalWalker-v3] Ep 0123 | R_raw=-114.31 | len= 50 | loss=-0.133
[BipedalWalker-v3] Ep 0124 | R_raw=-112.51 | len= 43 | loss=0.089
[BipedalWalker-v3] Ep 0125 | R_raw=-113.16 | len= 42 | loss=0.042
[BipedalWalker-v3] Ep 0126 | R_raw=-113.15 | len= 65 | loss=0.002
[BipedalWalker-v3] Ep 0127 | R_raw=-116.09 | len= 68 | loss=0.027
[BipedalWalker-v3] Ep 0128 | R_raw= -62.06 | len=1600 | loss=-0.011
[BipedalWalker-v3] Ep 0129 | R_raw= -98.38 | len=129 | loss=-0.019
[BipedalWalker-v3] Ep 0130 | R_raw=-113.25 | len= 56 | loss=0.116
[BipedalWalker-v3] Ep 0131 | R_raw=-119.25 | len=113 | loss=-0.068
[BipedalWalker-v3] Ep 0132 | R_raw=-117.49 | len= 50 | loss=-0.063
[BipedalWalker-v3] Ep 0133 | R_raw=-117.60 | len=103 | loss=0.031
[BipedalWalker-v3] Ep 0134 | R_raw=-113.52 | len= 45 | loss=0.006
[BipedalWalker-v3] Ep 0135 | R_raw=-115.29 | len= 52 | loss=-0.095
[BipedalWalker-v3] Ep 0136 | R_raw= -37.97 | len=1600 | loss=0.007
[BipedalWalker-v3] Ep 0137 | R_raw=-113.34 | len= 42 | loss=-0.107
[BipedalWalker-v3] Ep 0138 | R_raw=-111.39 | len= 43 | loss=-0.121
[BipedalWalker-v3] Ep 0139 | R_raw=-112.98 | len= 45 | loss=0.021
[BipedalWalker-v3] Ep 0140 | R_raw=-121.60 | len=450 | loss=0.028
[BipedalWalker-v3] Ep 0141 | R_raw=-117.55 | len= 74 | loss=0.120
[BipedalWalker-v3] Ep 0142 | R_raw=-118.28 | len= 93 | loss=0.051
[BipedalWalker-v3] Ep 0143 | R_raw=-112.15 | len= 44 | loss=0.089
[BipedalWalker-v3] Ep 0144 | R_raw=-115.03 | len= 56 | loss=-0.006
[BipedalWalker-v3] Ep 0145 | R_raw=-118.45 | len= 60 | loss=-0.037
[BipedalWalker-v3] Ep 0146 | R_raw=-118.07 | len= 57 | loss=-0.109
[BipedalWalker-v3] Ep 0147 | R_raw=-116.34 | len= 64 | loss=-0.026
[BipedalWalker-v3] Ep 0148 | R_raw=-115.73 | len= 47 | loss=0.018
[BipedalWalker-v3] Ep 0149 | R_raw=-113.35 | len= 48 | loss=0.060
