PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 2 Ep 15/30 GlobalEp 45 | R_raw=-981.03 | len=200 | actor_loss=-0.068 | critic_loss=42448.570
[Train] Gen 2 Ep 16/30 GlobalEp 46 | R_raw=-1055.27 | len=200 | actor_loss=0.019 | critic_loss=59767.094
[Train] Gen 2 Ep 17/30 GlobalEp 47 | R_raw=-998.91 | len=200 | actor_loss=-0.027 | critic_loss=46847.000
[Train] Gen 2 Ep 18/30 GlobalEp 48 | R_raw=-1047.18 | len=200 | actor_loss=0.006 | critic_loss=48757.152
[Train] Gen 2 Ep 19/30 GlobalEp 49 | R_raw=-964.15 | len=200 | actor_loss=-0.002 | critic_loss=42372.008
[Train] Gen 2 Ep 20/30 GlobalEp 50 | R_raw=-1395.62 | len=200 | actor_loss=0.040 | critic_loss=93555.336
[Train] Gen 2 Ep 21/30 GlobalEp 51 | R_raw=-1583.40 | len=200 | actor_loss=-0.069 | critic_loss=118800.938
[Train] Gen 2 Ep 22/30 GlobalEp 52 | R_raw=-1089.46 | len=200 | actor_loss=0.007 | critic_loss=56281.820
[Train] Gen 2 Ep 23/30 GlobalEp 53 | R_raw=-1050.15 | len=200 | actor_loss=0.035 | critic_loss=48544.719
[Train] Gen 2 Ep 24/30 GlobalEp 54 | R_raw=-1077.37 | len=200 | actor_loss=0.033 | critic_loss=51911.969
[Train] Gen 2 Ep 25/30 GlobalEp 55 | R_raw=-754.96 | len=200 | actor_loss=-0.002 | critic_loss=26925.473
[Train] Gen 2 Ep 26/30 GlobalEp 56 | R_raw=-1866.19 | len=200 | actor_loss=0.054 | critic_loss=168615.641
