pulsar,fundamental_freq_cpd,harmonic_matches
J0709+0458,-0.5688748274791463,"{'Ki_Rest_Ratio': np.float64(4.107142857142857), 'Ki_Motion_Ratio': np.float64(4.107142857142857)}"
J1012-4235,4.398399811044603,"{'Ki_Rest_Ratio': np.float64(0.24409448818897642), 'Ki_Motion_Ratio': np.float64(0.24409448818897642)}"
