mjd,residual_us,pulsar
54925.4273452971,4.864966011997082,B1855+09
54925.42734529305,4.660418112161674,B1855+09
54925.42734535285,1.8990214643836478,B1855+09
54925.42734535238,0.8762819652066011,B1855+09
54925.427345353666,5.294516601651442,B1855+09
54925.437802841516,5.703612401322278,B1855+09
54925.4378028374,-0.7805560234602168,B1855+09
54925.43780289724,0.22172868573329188,B1855+09
54925.43780289678,-0.187367113937528,B1855+09
54925.43780289806,3.617223823001097,B1855+09
54819.7148338318,2.7785774335914732,B1855+09
54819.71483382777,2.2876624740014084,B1855+09
54819.71483388763,2.1444789441209733,B1855+09
54819.71483388718,1.469470874684634,B1855+09
54819.71483388848,5.642248031200183,B1855+09
54819.72518999371,1.5921996145821549,B1855+09
54819.7251899897,3.5967690329082576,B1855+09
54819.72519004953,0.9376463351287335,B1855+09
54819.725190049096,1.5308352446333966,B1855+09
54819.72519005037,2.553574743779367,B1855+09
55528.77584341569,0.24218347575883573,B1855+09
55528.7758434117,3.9240456734347746,B1855+09
55528.775843471536,3.156991048918954,B1855+09
55528.77584347107,1.0092381002746562,B1855+09
55528.77584347232,1.1933312101584532,B1855+09
55135.86076647638,2.8399418037983204,B1855+09
55135.860766472324,1.5512900347572904,B1855+09
55135.86076653223,4.25132231274802,B1855+09
55135.86076653177,2.778577433843986,B1855+09
55135.86076653301,2.4103912141179773,B1855+09
53891.24728215588,1.776292723954341,B1855+09
53891.24728215183,1.0808298647206982,B1855+09
53891.24728221168,1.2853777644952988,B1855+09
53891.24728221125,2.349026843323223,B1855+09
53891.24728221246,0.09899994580261463,B1855+09
53891.25772880607,1.9808406237289475,B1855+09
53891.25772886593,2.1444789435486284,B1855+09
53891.25772886548,1.9399310437740276,B1855+09
53891.2577288667,0.3444574255321366,B1855+09
55912.723147824385,0.8967367554446407,B1855+09
55912.723147820354,1.6995872625264756,B1855+09
55912.72314781815,2.338799449693542,B1855+09
55912.723147817655,-1.4606777908274986,B1855+09
54177.502891136195,-1.5373832525206972,B1855+09
54177.5028911322,3.3922211324528204,B1855+09
54177.50289112994,-0.6578272834175384,B1855+09
54177.5028911295,0.9376463349556332,B1855+09
54177.50289113066,-7.101086126847655,B1855+09
54177.51353599859,4.680872901138858,B1855+09
54177.51353599455,5.212697440596584,B1855+09
54177.51353599231,3.0649444927865384,B1855+09
54177.51353599184,2.124024153745947,B1855+09
55843.91648233371,1.4081065051504427,B1855+09
55843.91648232967,0.28820675325589346,B1855+09
55843.916482327484,2.16493373474128,B1855+09
55843.91648232701,-0.3816876188819419,B1855+09
55843.916482328284,1.2853777652167933,B1855+09
53603.03896162807,-1.2919257725576376,B1855+09
53603.03896162404,-1.4555640923637612,B1855+09
53603.03896168404,10.326394933677134,B1855+09
53603.0389616834,-7.019266965771962,B1855+09
53603.03896168479,4.394505840705157,B1855+09
53532.23281374397,-0.06463837401039521,B1855+09
53532.23281373981,-10.823857901044029,B1855+09
53532.23281379979,0.2626382655951906,B1855+09
53532.23281379937,2.553574742834291,B1855+09
53532.232813800634,4.721782480221297,B1855+09
55500.84827111716,-0.576008123720082,B1855+09
55500.84827111316,2.267207684462401,B1855+09
55500.84827117304,4.353596263128684,B1855+09
55500.84827117256,1.98084062464546,B1855+09
55500.848271173825,3.2183554188543826,B1855+09
55789.0676019705,3.3973348315214422,B1855+09
55789.067601966424,-0.5350985437905668,B1855+09
55789.06760202627,-0.9135121585800188,B1855+09
55789.06760202583,-0.6322587962365072,B1855+09
55789.06760202711,2.6200528119539195,B1855+09
53851.37181185267,0.7535532250726996,B1855+09
53851.371811848636,2.062659783615139,B1855+09
53851.37181190846,0.9581011248449557,B1855+09
53851.371811908015,2.1035693635695902,B1855+09
53851.37181190925,1.8581118838428827,B1855+09
55108.9219139441,1.8581118845145752,B1855+09
55108.921913940074,1.9808406244222942,B1855+09
55108.92191399993,2.6353939039301295,B1855+09
55108.92191399951,4.4763250025459165,B1855+09
55108.92191400075,3.024034913637907,B1855+09
53798.501085462274,2.7581226427988916,B1855+09
53798.50108545819,-0.6782820733227849,B1855+09
53798.5010855181,5.25360701998249,B1855+09
53798.50108551758,-0.8010108131842733,B1855+09
53798.50108551885,1.6944735639993247,B1855+09
53798.51151239257,1.9399310437223076,B1855+09
53798.511512388555,4.189957941182936,B1855+09
53798.511512448335,-1.2101066127225717,B1855+09
53798.51151244793,2.7581226427988996,B1855+09
53798.51151244916,1.5308352441840116,B1855+09
54981.28084616518,-5.4237933498110875,B1855+09
54981.28084616115,-4.135141580827319,B1855+09
54981.280846221125,6.9104450104621264,B1855+09
54981.28084622081,19.346957320654685,B1855+09
54981.28084622197,12.69915057589715,B1855+09
55638.47450416398,3.0649444940737043,B1855+09
55638.47450415993,2.655848694319033,B1855+09
55638.47450421974,1.1217394452390157,B1855+09
55638.47450421927,1.111512050245149,B1855+09
55638.4745042205,0.9069641503678135,B1855+09
54472.662355841356,2.717213063371638,B1855+09
54472.662355837325,2.9626705431421825,B1855+09
54472.66235583511,1.8172023042129737,B1855+09
54472.662355834655,0.6103696953411288,B1855+09
54472.66235583589,-0.7396464433968671,B1855+09
54981.28843100826,0.4262765855755455,B1855+09
54981.28843100424,3.003580123543088,B1855+09
54981.28843106404,-1.026013503279181,B1855+09
54981.28843106364,3.8217717228978634,B1855+09
54981.28843106485,1.5921996146561004,B1855+09
54981.298923038725,4.1081387826720475,B1855+09
54981.29892303471,6.664987530655728,B1855+09
54981.29892309448,1.3671969248335414,B1855+09
54981.29892309403,1.2035586049625857,B1855+09
54981.298923095324,5.9081603012525585,B1855+09
53686.80479248517,-0.35100543368087894,B1855+09
53686.80479248119,3.371766341998073,B1855+09
53686.80479254105,2.308117263232658,B1855+09
53686.80479254062,2.7990322226628495,B1855+09
53686.804792541836,-1.3737449324937778,B1855+09
53686.815222831705,2.0217502035650523,B1855+09
53686.815222827674,1.285377764419763,B1855+09
53686.81522288752,-1.0055587129211372,B1855+09
53686.815222887126,2.5535747429477618,B1855+09
53686.8152228884,3.4944950818556317,B1855+09
53628.965296475406,4.026319621171385,B1855+09
53628.96529653122,1.7762927238204174,B1855+09
53628.96529653076,0.5080957453135082,B1855+09
53628.96529653203,0.385367005458001,B1855+09
53532.239350222524,2.8808513824398823,B1855+09
53532.23935021847,1.6126544039682351,B1855+09
53532.23935027831,1.326287344313347,B1855+09
53532.239350277836,-0.8010108131229647,B1855+09
53532.2393502791,0.7126436450528725,B1855+09
53532.249787653025,-0.2282766938131892,B1855+09
53532.249787649016,2.267207683179415,B1855+09
53532.24978770887,2.6353939027357005,B1855+09
53532.2497877084,1.1626490245105572,B1855+09
53532.249787709654,1.4081065042147478,B1855+09
53603.043291238515,-8.860198063590863,B1855+09
53603.043291234586,-0.31009585372089654,B1855+09
53603.04329129438,-6.1192562068382905,B1855+09
53603.043291294096,7.339995597215389,B1855+09
53603.04329129525,-1.9464790517821344,B1855+09
54998.226536333255,2.4308460040065816,B1855+09
54998.2265363292,1.2649229749203494,B1855+09
54998.22653638905,1.796747514503543,B1855+09
54998.226536388596,2.3081172641027674,B1855+09
54998.226536389855,3.903590882852348,B1855+09
55298.419336113366,-2.3453474574525623,B1855+09
55298.41933610923,-9.565888322416694,B1855+09
55298.41933616927,7.3195408108067905,B1855+09
55298.41933616874,1.7456105396942536,B1855+09
55298.419336170016,4.793374247568632,B1855+09
55701.304493079,-0.10043425652987847,B1855+09
55701.30449307495,1.1166257477622497,B1855+09
55701.3044931348,1.6484502874529274,B1855+09
55701.304493134325,0.7688943179644987,B1855+09
55701.3044931356,4.082570296037184,B1855+09
53449.52811715606,-5.096516707825113,B1855+09
53449.52811715207,-0.5964629133552919,B1855+09
53449.52811721191,-1.5782928321487073,B1855+09
53449.52811721148,0.18081910568949536,B1855+09
