filename,trace_id,start_time,end_time,duration,sampling_rate,band_energy,baseline,energy_ratio,peak_freq,peak_value,ki_distance,band_kurtosis,band_skew,envelope_mean,envelope_std,envelope_max
TW.MDSA0..HLN.D.2024.093.MSEED,TW.MDSA0..HLN,2024-04-02T23:58:00.000000Z,2024-04-03T00:00:01.335000Z,121.335,200.0,10042081.208255084,9843244.28812477,5.83916133869258,0.0988956650733476,17286439.478208084,4.089894334926653,-1.0149108354620957,-0.16632534354084702,3588.8373585583217,5428.875302024284,27823.92023387268
TW.MDSA0..HLZ.D.2024.093.MSEED,TW.MDSA0..HLZ,2024-04-02T23:58:00.000000Z,2024-04-03T00:00:00.455000Z,120.455,200.0,14281634.337629862,8661235.024806641,4.627756424556954,0.2739498588743151,34809646.29161747,3.914840141125685,-0.9931074748102797,0.5292642523187965,4775.052220527027,9287.481877015987,64429.38961797655
TW.MDSA0.01.HJE.D.2024.093.MSEED,TW.MDSA0.01.HJE,2024-04-02T23:57:59.997500Z,2024-04-02T23:59:59.897500Z,119.9,200.0,27584763.276185304,27472939.161446687,2.8153057581380865,0.1000792293899337,48025375.40655621,4.088710770610066,-0.6326404825895691,-0.1315889052588127,13553.020490726545,19829.76520282786,104283.02746727587
TW.NA01..HLE.D.2024.093.MSEED,TW.NA01..HLE,2024-04-02T23:57:59.998391Z,2024-04-03T00:07:59.998391Z,600.0,100.0,24236181.36609194,13595700.773192327,5.145478955186411,0.24666255562407294,45223674.86963983,3.942127444375927,-0.252856002093071,0.9884796338176165,2790.2475262405383,13539.256163097889,169873.5187676617
TW.NA01..HLZ.D.2024.093.MSEED,TW.NA01..HLZ,2024-04-02T23:57:59.998393Z,2024-04-03T00:07:59.998393Z,600.0,100.0,15262795.298827076,12261957.046512887,3.130397173272801,0.029999500008333194,27928460.880789082,4.1587904999916665,-1.3433682527879751,-0.12740123192985747,2031.0554160397837,8944.945469968261,98881.12198416931
TW.NA01.01.HJE.D.2024.093.MSEED,TW.NA01.01.HJE,2024-04-02T23:57:59.999300Z,2024-04-03T00:00:00.239300Z,120.24,200.0,56677601.578627676,25866271.1693593,6.867425561891942,0.24949062331074057,119149396.98927066,3.9392993766892594,-0.2526268972000989,0.8673781391775364,18651.862128425924,33391.51925321364,197489.84136258485
TW.NA01.01.HJN.D.2024.093.MSEED,TW.NA01.01.HJN,2024-04-02T23:57:59.999400Z,2024-04-03T00:00:00.239400Z,120.24,200.0,38438594.62332979,29064294.054630436,4.1689170782951495,0.0831635411035802,82762817.81543475,4.1056264588964195,-0.4565627529466987,0.5487208540475003,15006.274807071457,26383.07689753508,151040.73812494206
TW.NA01.01.HJZ.D.2024.093.MSEED,TW.NA01.01.HJZ,2024-04-02T23:57:59.999300Z,2024-04-03T00:00:00.239300Z,120.24,200.0,33651059.58932025,19891498.676761724,5.8347325488919894,0.1829597904278764,53663494.95099906,4.005830209572124,-0.05527017324097594,-0.4611357686276968,10911.92671027979,21010.327064558573,136744.75250205392
